"Create Account","Create Account"
"Services Agreement","Services Agreement"
"Connected Account Agreement","Connected Account Agreement"
"certify that the information you have provided is complete and correct","certify that the information you have provided is complete and correct"
"By creating account, you agree to our %1, %2, and %3","By creating account, you agree to our %1, %2, and %3"
"Grand Total","Grand Total"
"Generate Webhooks","Generate Webhooks"
"Please remove the previous connection and reauthorize using the Stripe system","Please remove the previous connection and reauthorize using the Stripe system"
"Order captured successfully, invoices will be generated automatically","Order captured successfully, invoices will be generated automatically"
"There was an error capturing the transaction","There was an error capturing the transaction"
"The order has already been captured successfully","The order has already been captured successfully"
"Manage Stripe Custom Account","Manage Stripe Custom Account"
"You have successfully updated connected account on stripe","You have successfully updated connected account on stripe"
"There some error, not able connect you with stripe, please contact admin","There some error, not able connect you with stripe, please contact admin"
"More Information Required, Please Connect To Stripe","More Information Required, Please Connect To Stripe"
"You are successfully connected to stripe","You are successfully connected to stripe"
"WebHooks Generated Successfully","WebHooks Generated Successfully"
"Invalid Request Check Credentials","Invalid Request Check Credentials"
"WebHooks Already Generated","WebHooks Already Generated"
"Cards successfully deleted","Cards successfully deleted"
"Not able to delete the cards","Not able to delete the cards"
"Saved Cards","Saved Cards"
message,message
"Order cancelled because stripe payment failed","Order cancelled because stripe payment failed"
"There was an error capturing the transaction, order has been cancelled","There was an error capturing the transaction, order has been cancelled"
"Stripe credentials saved successfully.","Stripe credentials saved successfully."
"Something went wrong!","Something went wrong!"
"There was an error capturing the transaction: %1","There was an error capturing the transaction: %1"
"There was an error capturing the transaction: Please contact admin","There was an error capturing the transaction: Please contact admin"
"Something went wrong while saving the file(s).","Something went wrong while saving the file(s)."
"File can not be saved to the destination folder.","File can not be saved to the destination folder."
"Maximum shipping amount allowed to refund is: %1","Maximum shipping amount allowed to refund is: %1"
"Notified customer about invoice #%1.","Notified customer about invoice #%1."
"The authorized amount is %1.","The authorized amount is %1."
"There is nothing to refund.","There is nothing to refund."
"payment refund error, please contact admin","payment refund error, please contact admin"
"Refund amount by seller($' . . ') is more than seller commission($' . . ')","Refund amount by seller($' . . ') is more than seller commission($' . . ')"
"Please Select","Please Select"
Individual,Individual
Company,Company
"A/C, Refrigeration Repair","A/C, Refrigeration Repair"
"Accounting/Bookkeeping Services","Accounting/Bookkeeping Services"
"Advertising Services","Advertising Services"
"Agricultural Cooperative","Agricultural Cooperative"
"Airlines, Air Carriers","Airlines, Air Carriers"
"Airports, Flying Fields","Airports, Flying Fields"
"Ambulance Services","Ambulance Services"
"Amusement Parks/Carnivals","Amusement Parks/Carnivals"
"Antique Reproductions","Antique Reproductions"
"Antique Shops","Antique Shops"
Aquariums,Aquariums
"Architectural/Surveying Services","Architectural/Surveying Services"
"Art Dealers and Galleries","Art Dealers and Galleries"
"Artists Supply and Craft Shops","Artists Supply and Craft Shops"
"Auto Body Repair Shops","Auto Body Repair Shops"
"Auto Paint Shops","Auto Paint Shops"
"Auto Service Shops","Auto Service Shops"
"Auto and Home Supply Stores","Auto and Home Supply Stores"
"Automated Cash Disburse","Automated Cash Disburse"
"Automated Fuel Dispensers","Automated Fuel Dispensers"
"Automobile Associations","Automobile Associations"
"Automotive Parts and Accessories Stores","Automotive Parts and Accessories Stores"
"Automotive Tire Stores","Automotive Tire Stores"
"Bail and Bond Payments","Bail and Bond Payments"
Bakeries,Bakeries
"Bands, Orchestras","Bands, Orchestras"
"Barber and Beauty Shops","Barber and Beauty Shops"
"Betting/Casino Gambling","Betting/Casino Gambling"
"Bicycle Shops","Bicycle Shops"
"Billiard/Pool Establishments","Billiard/Pool Establishments"
"Boat Dealers","Boat Dealers"
"Boat Rentals and Leases","Boat Rentals and Leases"
"Book Stores","Book Stores"
"Books, Periodicals, and Newspapers","Books, Periodicals, and Newspapers"
"Bowling Alleys","Bowling Alleys"
"Bus Lines","Bus Lines"
"Business/Secretarial Schools","Business/Secretarial Schools"
"Buying/Shopping Services","Buying/Shopping Services"
"Cable, Satellite, and Other Pay Television and Radio","Cable, Satellite, and Other Pay Television and Radio"
"Camera and Photographic Supply Stores","Camera and Photographic Supply Stores"
"Candy, Nut, and Confectionery Stores","Candy, Nut, and Confectionery Stores"
"Car Rental Agencies","Car Rental Agencies"
"Car Washes","Car Washes"
"Car and Truck Dealers (New & Used) Sales, Service, Repairs Parts and Leasing","Car and Truck Dealers (New & Used) Sales, Service, Repairs Parts and Leasing"
"Car and Truck Dealers (Used Only) Sales, Service, Repairs Parts and Leasing","Car and Truck Dealers (Used Only) Sales, Service, Repairs Parts and Leasing"
"Carpentry Services","Carpentry Services"
"Carpet/Upholstery Cleaning","Carpet/Upholstery Cleaning"
Caterers,Caterers
"Charitable and Social Service Organizations - Fundraising","Charitable and Social Service Organizations - Fundraising"
"Chemicals and Allied Products (Not Elsewhere Classified)","Chemicals and Allied Products (Not Elsewhere Classified)"
"Chidrens and Infants Wear Stores","Chidrens and Infants Wear Stores"
"Child Care Services","Child Care Services"
"Chiropodists, Podiatrists","Chiropodists, Podiatrists"
Chiropractors,Chiropractors
"Cigar Stores and Stands","Cigar Stores and Stands"
"Civic, Social, Fraternal Associations","Civic, Social, Fraternal Associations"
"Cleaning and Maintenance","Cleaning and Maintenance"
"Clothing Rental","Clothing Rental"
"Colleges, Universities","Colleges, Universities"
"Commercial Equipment (Not Elsewhere Classified)","Commercial Equipment (Not Elsewhere Classified)"
"Commercial Footwear","Commercial Footwear"
"Commercial Photography, Art and Graphics","Commercial Photography, Art and Graphics"
"Commuter Transport, Ferries","Commuter Transport, Ferries"
"Computer Network Services","Computer Network Services"
"Computer Programming","Computer Programming"
"Computer Repair","Computer Repair"
"Computer Software Stores","Computer Software Stores"
"Computers, Peripherals, and Software","Computers, Peripherals, and Software"
"Concrete Work Services","Concrete Work Services"
"Construction Materials (Not Elsewhere Classified)","Construction Materials (Not Elsewhere Classified)"
"Consulting, Public Relations","Consulting, Public Relations"
"Correspondence Schools","Correspondence Schools"
"Cosmetic Stores","Cosmetic Stores"
"Counseling Services","Counseling Services"
"Country Clubs","Country Clubs"
"Courier Services","Courier Services"
"Court Costs, Including Alimony and Child Support - Courts of Law","Court Costs, Including Alimony and Child Support - Courts of Law"
"Credit Reporting Agencies","Credit Reporting Agencies"
"Cruise Lines","Cruise Lines"
"Dairy Products Stores","Dairy Products Stores"
"Dance Hall, Studios, Schools","Dance Hall, Studios, Schools"
"Dating/Escort Services","Dating/Escort Services"
"Dentists, Orthodontists","Dentists, Orthodontists"
"Department Stores","Department Stores"
"Detective Agencies","Detective Agencies"
"Digital Goods – Applications (Excludes Games)","Digital Goods – Applications (Excludes Games)"
"Direct Marketing - Catalog Merchant","Direct Marketing - Catalog Merchant"
"Direct Marketing - Combination Catalog and Retail Merchant","Direct Marketing - Combination Catalog and Retail Merchant"
"Direct Marketing - Inbound Telemarketing","Direct Marketing - Inbound Telemarketing"
"Direct Marketing - Insurance Services","Direct Marketing - Insurance Services"
"Direct Marketing - Other","Direct Marketing - Other"
"Direct Marketing - Outbound Telemarketing","Direct Marketing - Outbound Telemarketing"
"Direct Marketing - Subscription","Direct Marketing - Subscription"
"Direct Marketing - Travel","Direct Marketing - Travel"
"Discount Stores","Discount Stores"
Doctors,Doctors
"Door-To-Door Sales","Door-To-Door Sales"
"Drapery, Window Covering, and Upholstery Stores","Drapery, Window Covering, and Upholstery Stores"
"Drinking Places","Drinking Places"
"Drug Stores and Pharmacies","Drug Stores and Pharmacies"
"Drugs, Drug Proprietaries, and Druggist Sundries","Drugs, Drug Proprietaries, and Druggist Sundries"
"Dry Cleaners","Dry Cleaners"
"Durable Goods (Not Elsewhere Classified)","Durable Goods (Not Elsewhere Classified)"
"Duty Free Stores","Duty Free Stores"
"Eating Places, Restaurants","Eating Places, Restaurants"
"Educational Services","Educational Services"
"Electric Razor Stores","Electric Razor Stores"
"Electrical Parts and Equipment","Electrical Parts and Equipment"
"Electrical Services","Electrical Services"
"Electronics Repair Shops","Electronics Repair Shops"
"Electronics Stores","Electronics Stores"
"Elementary, Secondary Schools","Elementary, Secondary Schools"
"Employment/Temp Agencies","Employment/Temp Agencies"
"Equipment Rental","Equipment Rental"
"Exterminating Services","Exterminating Services"
"Family Clothing Stores","Family Clothing Stores"
"Fast Food Restaurants","Fast Food Restaurants"
"Financial Institutions","Financial Institutions"
"Fines - Government Administrative Entities","Fines - Government Administrative Entities"
"Fireplace, Fireplace Screens, and Accessories Stores","Fireplace, Fireplace Screens, and Accessories Stores"
"Floor Covering Stores","Floor Covering Stores"
Florists,Florists
"Florists Supplies, Nursery Stock, and Flowers","Florists Supplies, Nursery Stock, and Flowers"
"Freezer and Locker Meat Provisioners","Freezer and Locker Meat Provisioners"
"Fuel Dealers (Non Automotive)","Fuel Dealers (Non Automotive)"
"Funeral Services, Crematories","Funeral Services, Crematories"
"Furniture Repair, Refinishing","Furniture Repair, Refinishing"
"Furniture, Home Furnishings, and Equipment Stores, Except Appliances","Furniture, Home Furnishings, and Equipment Stores, Except Appliances"
"Furriers and Fur Shops","Furriers and Fur Shops"
"General Services","General Services"
"Gift, Card, Novelty, and Souvenir Shops","Gift, Card, Novelty, and Souvenir Shops"
"Glass, Paint, and Wallpaper Stores","Glass, Paint, and Wallpaper Stores"
"Glassware, Crystal Stores","Glassware, Crystal Stores"
"Golf Courses - Public","Golf Courses - Public"
"Government Services (Not Elsewhere Classified)","Government Services (Not Elsewhere Classified)"
"Grocery Stores, Supermarkets","Grocery Stores, Supermarkets"
"Hardware Stores","Hardware Stores"
"Hardware, Equipment, and Supplies","Hardware, Equipment, and Supplies"
"Health and Beauty Spas","Health and Beauty Spas"
"Hearing Aids Sales and Supplies","Hearing Aids Sales and Supplies"
"Heating, Plumbing, A/C","Heating, Plumbing, A/C"
"Hobby, Toy, and Game Shops","Hobby, Toy, and Game Shops"
"Home Supply Warehouse Stores","Home Supply Warehouse Stores"
Hospitals,Hospitals
"Hotels, Motels, and Resorts","Hotels, Motels, and Resorts"
"Household Appliance Stores","Household Appliance Stores"
"Industrial Supplies (Not Elsewhere Classified)","Industrial Supplies (Not Elsewhere Classified)"
"Information Retrieval Services","Information Retrieval Services"
"Insurance - Default","Insurance - Default"
"Insurance Underwriting, Premiums","Insurance Underwriting, Premiums"
"Intra-Company Purchases","Intra-Company Purchases"
"Jewelry Stores, Watches, Clocks, and Silverware Stores","Jewelry Stores, Watches, Clocks, and Silverware Stores"
"Landscaping Services","Landscaping Services"
Laundries,Laundries
"Laundry, Cleaning Services","Laundry, Cleaning Services"
"Legal Services, Attorneys","Legal Services, Attorneys"
"Luggage and Leather Goods Stores","Luggage and Leather Goods Stores"
"Lumber, Building Materials Stores","Lumber, Building Materials Stores"
"Manual Cash Disburse","Manual Cash Disburse"
"Marinas, Service and Supplies","Marinas, Service and Supplies"
"Masonry, Stonework, and Plaster","Masonry, Stonework, and Plaster"
"Massage Parlors","Massage Parlors"
"Medical Services","Medical Services"
"Medical and Dental Labs","Medical and Dental Labs"
"Medical, Dental, Ophthalmic, and Hospital Equipment and Supplies","Medical, Dental, Ophthalmic, and Hospital Equipment and Supplies"
"Membership Organizations","Membership Organizations"
"Mens and Boys Clothing and Accessories Stores","Mens and Boys Clothing and Accessories Stores"
"Mens, Womens Clothing Stores","Mens, Womens Clothing Stores"
"Metal Service Centers","Metal Service Centers"
"Miscellaneous Apparel and Accessory Shops","Miscellaneous Apparel and Accessory Shops"
"Miscellaneous Auto Dealers","Miscellaneous Auto Dealers"
"Miscellaneous Business Services","Miscellaneous Business Services"
"Miscellaneous Food Stores - Convenience Stores and Specialty Markets","Miscellaneous Food Stores - Convenience Stores and Specialty Markets"
"Miscellaneous General Merchandise","Miscellaneous General Merchandise"
"Miscellaneous General Services","Miscellaneous General Services"
"Miscellaneous Home Furnishing Specialty Stores","Miscellaneous Home Furnishing Specialty Stores"
"Miscellaneous Publishing and Printing","Miscellaneous Publishing and Printing"
"Miscellaneous Recreation Services","Miscellaneous Recreation Services"
"Miscellaneous Repair Shops","Miscellaneous Repair Shops"
"Miscellaneous Specialty Retail","Miscellaneous Specialty Retail"
