"Save and Continue Edit","Save and Continue Edit"
"Save Attribute","Save Attribute"
"Delete Attribute","Delete Attribute"
"Edit Vendor Attribute ""%1""","Edit Vendor Attribute ""%1"""
"New Vendor Attribute","New Vendor Attribute"
"Attribute Properties","Attribute Properties"
"Default Label","Default Label"
"Attribute Code","Attribute Code"
"Make sure you don't use spaces or more than 25 characters.","Make sure you don't use spaces or more than 25 characters."
"Frontend Input Type","Frontend Input Type"
"Values Required","Values Required"
"Input Validation","Input Validation"
"Input Field Sort Order","Input Field Sort Order"
"Assign Group","Assign Group"
"Attribute Used For","Attribute Used For"
"Attribute Status","Attribute Status"
Enable,Enable
Disable,Disable
"Media Image","Media Image"
File,File
"Attribute Information","Attribute Information"
Properties,Properties
"Manage Labels","Manage Labels"
"Additional Information","Additional Information"
"Allowed file types:","Allowed file types:"
Delete,Delete
Download,Download
"Sorry! No attributes are assigned to Customer.","Sorry! No attributes are assigned to Customer."
"Vendor Attribute Fields","Vendor Attribute Fields"
"Sorry! No attributes are assigned to Vendor.","Sorry! No attributes are assigned to Vendor."
"Save Group","Save Group"
"Vendor Group Information","Vendor Group Information"
"Attribute Label","Attribute Label"
"Group Information","Group Information"
"Group Name","Group Name"
Status,Status
"Group Details","Group Details"
"Attribute Group Information","Attribute Group Information"
"Assign Attribtues","Assign Attribtues"
"<p>Version: %1</p>","<p>Version: %1</p>"
"Congratulations! Your seller account is created.","Congratulations! Your seller account is created."
"Your request to become seller is successfully raised.","Your request to become seller is successfully raised."
"Please confirm that you want to become seller.","Please confirm that you want to become seller."
"Shop URL already exist please set another.","Shop URL already exist please set another."
"Edit Additional Customer Information","Edit Additional Customer Information"
"Vendor Required Attributes can't be Empty.","Vendor Required Attributes can't be Empty."
"Vendor Attributes has been saved.","Vendor Attributes has been saved."
"A total of %1 record(s) have been assigned.","A total of %1 record(s) have been assigned."
"No group found.","No group found."
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"A total of %1 record(s) Status have been Disabled.","A total of %1 record(s) Status have been Disabled."
"A total of %1 record(s) have been enabled for Seller profile.","A total of %1 record(s) have been enabled for Seller profile."
Vendorattribute,Vendorattribute
"Manage Vendor Attribute","Manage Vendor Attribute"
"This attribute no longer exists.","This attribute no longer exists."
"This attribute cannot be edited.","This attribute cannot be edited."
"Edit Vendor Attribute","Edit Vendor Attribute"
"New Attribute","New Attribute"
"A total of %1 record(s) Status has been Enabled.","A total of %1 record(s) Status has been Enabled."
"A total of %1 record(s) have been disabled for Seller Profile.","A total of %1 record(s) have been disabled for Seller Profile."
"Manage Attribute","Manage Attribute"
"A total of %1 record(s) have been updated.","A total of %1 record(s) have been updated."
"You saved the vendor attribute.","You saved the vendor attribute."
"Attribute name ""%1"" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field and the first character should be a letter.","Attribute name ""%1"" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field and the first character should be a letter."
"The attribute ID already exists.","The attribute ID already exists."
"An attribute with this code already exists.","An attribute with this code already exists."
"An attribute with the same code (%1) already exists.","An attribute with the same code (%1) already exists."
"A total of %1 record(s) have been Saved.","A total of %1 record(s) have been Saved."
Vendorgroup,Vendorgroup
"Manage Vendor Group","Manage Vendor Group"
"This group no longer exists.","This group no longer exists."
"New Group","New Group"
"Manage Group","Manage Group"
"A total of %1 record(s) have been removed.","A total of %1 record(s) have been removed."
"You saved this group","You saved this group"
"Something went wrong while saving the Attribute Group.","Something went wrong while saving the Attribute Group."
"Page not found.","Page not found."
Popup,Popup
Slide,Slide
Text,Text
HTML,HTML
"Unauthorized access. Only admin can access this information.","Unauthorized access. Only admin can access this information."
"'groupId' input argument is required.","'groupId' input argument is required."
"Attribute id(s) cannot be empty.","Attribute id(s) cannot be empty."
"Attribute id(s) are not valid.","Attribute id(s) are not valid."
"Invalid Request","Invalid Request"
"'action' input argument is not valid.","'action' input argument is not valid."
"Group id(s) cannot be empty.","Group id(s) cannot be empty."
"Group id(s) are not valid.","Group id(s) are not valid."
"Text Field","Text Field"
"Text Area","Text Area"
"Text Editor","Text Editor"
"Page Builder","Page Builder"
"Date and Time","Date and Time"
Yes/No,Yes/No
"Multiple Select","Multiple Select"
Dropdown,Dropdown
"""input"" value should be specified","""input"" value should be specified"
"'filter' input argument is required.","'filter' input argument is required."
"Attributes data cannot be empty.","Attributes data cannot be empty."
"Invalid %1.","Invalid %1."
"Invalid %1 type. Please upload valid file type from %2","Invalid %1 type. Please upload valid file type from %2"
"The current customer isn't authorized.","The current customer isn't authorized."
"The current customer is not a seller.","The current customer is not a seller."
"'shopUrl' & 'isSeller' input arguments are required.","'shopUrl' & 'isSeller' input arguments are required."
"already seller","already seller"
"Profile information was successfully saved","Profile information was successfully saved"
"The model with the ""%1"" ID doesn't exist.","The model with the ""%1"" ID doesn't exist."
Yes,Yes
No,No
Enabled,Enabled
Disabled,Disabled
"Invalid date","Invalid date"
Select,Select
Both,Both
Customer,Customer
Seller,Seller
"Please Fill all the Required Fields.","Please Fill all the Required Fields."
"Check Term and Condition & Privacy & cookie Policy.","Check Term and Condition & Privacy & cookie Policy."
