"Update Quote","Update Quote"
"Delete Quote","Delete Quote"
"Edit quote '%1'","Edit quote '%1'"
"New Quote","New Quote"
"Manage quotes","Manage quotes"
"Marketplace Quotes","Marketplace Quotes"
"General Information","General Information"
"Quote Price","Quote Price"
"Quote Quantity","Quote Quantity"
"Product Id","Product Id"
"Product Name","Product Name"
Status,Status
Unapproved,Unapproved
Approved,Approved
Declined,Declined
Sender,Sender
Receiver,Receiver
Conversation,Conversation
"Created At","Created At"
"Manage Quotes Information","Manage Quotes Information"
"Marketplace Quote Manager","Marketplace Quote Manager"
"marketplace Quote Manager","marketplace Quote Manager"
"Quote Conversation","Quote Conversation"
Admin,Admin
(Customer),(Customer)
(Seller),(Seller)
Select,Select
Name,Name
SKU,SKU
Price,Price
Action,Action
"Add Quote","Add Quote"
"Add Multiple Quote","Add Multiple Quote"
"Read error!","Read error!"
Author,Author
Version,Version
"User Guide","User Guide"
"Click Here","Click Here"
"Store Extension","Store Extension"
Ticket/Customisations,Ticket/Customisations
Services,Services
"Sorry some error occured!!!","Sorry some error occured!!!"
"Sorry!! Quote can't be saved.","Sorry!! Quote can't be saved."
"Your Quote has been successfully sent","Your Quote has been successfully sent"
"Quote Quantity can contain only integer value","Quote Quantity can contain only integer value"
"Quote Price can contain only decimal or integer value","Quote Price can contain only decimal or integer value"
"Please enter the quote description","Please enter the quote description"
"Sorry!! Quantity of this product in stock is zero.","Sorry!! Quantity of this product in stock is zero."
"""Sorry you are not allowed to quote such a low quantity for "" .","""Sorry you are not allowed to quote such a low quantity for "" ."
"Quote is Successfully deleted","Quote is Successfully deleted"
"Something went wrong while Deleting the data.","Something went wrong while Deleting the data."
"Manage Marketplace Quotes","Manage Marketplace Quotes"
"This quote no longer exists.","This quote no longer exists."
"Edit Quote","Edit Quote"
"Edit Marketplace Quote","Edit Marketplace Quote"
"View Quote","View Quote"
"View Marketplace Quote","View Marketplace Quote"
"Can not update Quote(s) Status to sold.","Can not update Quote(s) Status to sold."
"Quote Status is updated by %1.","Quote Status is updated by %1."
"A Total of %1 record(s) successfully updated.","A Total of %1 record(s) successfully updated."
"Something went wrong while Updating the data.","Something went wrong while Updating the data."
"Quote id %1 Already has been sold","Quote id %1 Already has been sold"
"Can not update status for quote id %1","Can not update status for quote id %1"
"Requested quantity is not available for quote id %1.","Requested quantity is not available for quote id %1."
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"Quote is not exists.","Quote is not exists."
"Not Allowed to update.","Not Allowed to update."
"Sorry!! Quote Quantity should not be less than %1.","Sorry!! Quote Quantity should not be less than %1."
"Sorry!! This much product quantity is not available","Sorry!! This much product quantity is not available"
"Message Sent Successfully","Message Sent Successfully"
"Quote Already has been sold","Quote Already has been sold"
"Mimimum Quote Quantity cannot be empty if Quote Status is enabled.","Mimimum Quote Quantity cannot be empty if Quote Status is enabled."
"Mimimum Quote Quantity cannot be empty if Quote Status is enabled","Mimimum Quote Quantity cannot be empty if Quote Status is enabled"
"Quote does not exists, please contact to admin.","Quote does not exists, please contact to admin."
"Same Product is already added to cart.","Same Product is already added to cart."
"A Quote item of same product is already added in cart.","A Quote item of same product is already added in cart."
"Quote Product Is added In cart","Quote Product Is added In cart"
Attachment,Attachment
"View Attachment","View Attachment"
"You are not authorized to access this quote","You are not authorized to access this quote"
"Quotes are successfully deleted.","Quotes are successfully deleted."
"Quote Does Not exists.","Quote Does Not exists."
"Quotesystem is disabled by admin, Please contact to admin!","Quotesystem is disabled by admin, Please contact to admin!"
"My Quotes","My Quotes"
"Unauthorized to access quote id %1","Unauthorized to access quote id %1"
"Please select checkbox first.","Please select checkbox first."
"Sorry!! Quote can't be saved","Sorry!! Quote can't be saved"
"Please check the file attached","Please check the file attached"
"Your Quote has been successfully saved","Your Quote has been successfully saved"
"Sorry you are not allowed to quote such a low quantity","Sorry you are not allowed to quote such a low quantity"
"Data Validation Failed","Data Validation Failed"
"Something Went Wrong, Please try again later.","Something Went Wrong, Please try again later."
"Quote not found","Quote not found"
"Quote Successfully updated","Quote Successfully updated"
"Quote Quantity can not less then default value.","Quote Quantity can not less then default value."
"Sorry!! Quote Status Changed previously","Sorry!! Quote Status Changed previously"
"Quote Settings","Quote Settings"
"Manage Quotes","Manage Quotes"
"Something went wrong.","Something went wrong."
